Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1007390,Martinez Renewable Fuel Facility,12156.0,302,4.18,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.18, 'capex_million_USD': 55.45, 'opex_million_USD_per_year': 2.16}",220.0,250,true,38.03,-122.07,75.0
1006395,SAN FRANCISCO REFINERY AT RODEO,12576.0,263,4.78,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.78, 'capex_million_USD': 50.09, 'opex_million_USD_per_year': 1.81}",220.0,250,true,38.04,-122.25,62.5
1005585,Galveston Bay Refinery,56277.0,339,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,29.38,-94.93,37.5
1007959,Exxonmobil Beaumont Refinery,50730.0,537,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,30.06,-94.07,37.5
1007458,MOTIVA ENTERPRISES LLC,40812.0,1242,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,29.88,-93.96,37.5
1006627,Los Angeles Refinery (LAR),40023.0,752,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,33.82,-118.23,37.5
1006543,BASF TOTALEnergies PETROCHEMICALS LLC,16652.0,504,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,29.95,-93.89,37.5
1006324,Genesis Alkali Westvaco,15763.0,77,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,100,false,41.6,-109.85,37.5
1008938,VALERO REFINING TEXAS CITY REFINERY,13886.0,562,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,29.37,-94.91,37.5
1005743,"TotalEnergies Petrochemicals & Refining USA, Inc. - Port Arthur Refinery",12659.0,594,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,29.96,-93.9,37.5
